id	username	ideo	elite_type
13493302	mmfa	-1	media
16955991	salon	-1	media
2836421	msnbc	-1	media
2467791	washingtonpost	-1	media
807095	nytimes	-1	media
5392522	npr	-1	media
14717197	tpm	-1	media
39308549	dailycaller	1	media
1367531	foxnews	1	media
10774652	theblaze	1	media
14662354	washtimes	1	media
19553409	rasmussen_poll	1	media
19417492	nro	1	media
123327472	peterbakernyt	-1	journalist
21252618	JakeSherman	-1	journalist
200846651	TiffanyDCross	-1	journalist
130557513	mehdirhasan	-1	journalist
218975278	JRubinBlogger	-1	journalist
24889586	AnandWrites	-1	journalist
2178681566	DavidJollyFL	-1	journalist
55948054	matthewamiller	-1	journalist
50317463	MichaelSteele	-1	journalist
61734492	Fahrenthold	-1	journalist
820354372827758600	brhodes	-1	journalist
548384458	JoyceWhiteVance	-1	journalist
59331128	PhilipRucker	-1	journalist
95463107	SykesCharlie	-1	journalist
929823128259387400	FrankFigliuzzi1	-1	journalist
96675300	mayawiley	-1	journalist
32871086	kylegriffin1	-1	journalist
454071012	JillWineBanks	-1	journalist
1003107003693137900	glennkirschner2	-1	journalist
860123351154556900	DeadlineWH	-1	program
15463671	samstein	-1	journalist
860555190	NicolleDWallace	-1	journalist
16378486	AliVelshi	-1	journalist
887418059501305900	TheBeatWithAri	-1	program
37590426	HallieJackson	-1	journalist
39000115	KatyTurNBC	-1	journalist
15441965	AriMelber	-1	journalist
1286312880	allinwithchris	-1	program
59031230	Eugene_Robinson	-1	journalist
14251225	jheil	-1	journalist
97474887	CapehartJ	-1	journalist
4207961	chrislhayes	-1	journalist
44134773	SteveKornacki	-1	journalist
205864193	thereidout	-1	program
182503471	TheLastWord	-1	program
89820928	mitchellreports	-1	journalist
11856032	NBCPolitics	-1	media
19186003	seungminkim	-1	journalist
38936142	jdawsey1	-1	journalist
20508720	ThePlumLineGS	-1	journalist
15766082	joshrogin	-1	journalist
14345062	postpolitics	-1	program
16686144	nytopinion	-1	program
19107878	GlennThrush	-1	journalist
93069110	maggieNYT	-1	journalist
463765807	Nate_Cohn	-1	journalist
37291805	FrankBruni	-1	journalist
14434063	nytpolitics	-1	program
5741722	nprpolitics	-1	program
115710058	NPRinskeep	-1	journalist
21268897	joshtpm	-1	journalist
121574367	LisaMarieBoothe	1	journalist
468646961	TomiLahren	1	journalist
17800215	jasoninthehouse	1	journalist
819334191624101900	jesseprimetime	1	program
3195591187	Gutfeldfox	1	program
2332354080	SandraSmithFox	1	journalist
208155240	MariaBartiromo	1	journalist
2229044521	LizMacDonaldFOX	1	journalist
56561449	JesseBWatters	1	journalist
186646579	ainsleyearhardt	1	journalist
50769180	IngrahamAngle	1	program
112047805	brithume	1	journalist
43919633	kilmeade	1	journalist
21536398	GreggJarrett	1	journalist
29458079	JudgeJeanine	1	journalist
223970563	TeamCavuto	1	journalist
37764422	foxnation	1	program
27311044	DanaPerino	1	journalist
58120509	dagenmcdowell	1	journalist
41634520	seanhannity	1	journalist
321954654	kylenabecker	1	journalist
375852740	SaraGonzalesTX	1	journalist
393469195	redsteeze	1	journalist
130684893	AndrewCMcCarthy	1	journalist
22703645	tuckercarlson	1	journalist
91180720	maddowblog	-1	journalist
16129920	maddow	-1	journalist
334053327	thefive	1	program
16032925	foxnewspolitics	1	program
